Brand,Color Name,Hex Code
Bambu Lab,Jade White,#FFFFFF
Bambu Lab,Beige,#F7E6DE
Bambu Lab,Gold,#E4BD68
Bambu Lab,Silver,#A6A9AA
Bambu Lab,Gray,#8E9089
Bambu Lab,Bronze,#847D48
Bambu Lab,Brown,#9D432C
Bambu Lab,Cocoa Brown,#6F5034
Bambu Lab,Maroon Red,#9D2235
Bambu Lab,Red,#C12E1F
Bambu Lab,Magenta,#EC008C
Bambu Lab,Pink,#F55A74
Bambu Lab,Hot Pink,#F5547C
Bambu Lab,Orange,#FF6A13
Bambu Lab,Pumpkin Orange,#FF9016
Bambu Lab,Sunflower Yellow,#FEC600
Bambu Lab,Yellow,#F4EE2A
Bambu Lab,Bright Green,#BECF00
Bambu Lab,Bambu Green,#00AE42
Bambu Lab,Mistletoe Green,#3F8E43
Bambu Lab,Turquoise,#00B1B7
Bambu Lab,Cyan,#0086D6
Bambu Lab,Blue,#0A2989
Bambu Lab,Cobalt Blue,#0056B8
Bambu Lab,Purple,#5E43B7
Bambu Lab,Indigo Purple,#482960
Bambu Lab,Blue Gray,#5B6579
Bambu Lab,Light Gray,#D1D3D5
Bambu Lab,Dark Gray,#545454
Bambu Lab,Black,#000000
Bambu Lab,Arctic Whisper,#9CDBD9
Bambu Lab,Solar Breeze,#E94B3C
Bambu Lab,Ocean to Meadow,#307FE2
Bambu Lab,Cotton Candy Cloud,#E7C1D5
Bambu Lab,Blueberry Bubblegum,#6FCAEF
Bambu Lab,Mint Lime,#B6FF43
Bambu Lab,Pink Citrus,#F78F77
Bambu Lab,Dusk Glare,#ED9558
Bambu Lab,Ivory White,#FFFFFF
Bambu Lab,Marine Blue,#2397D1
Bambu Lab,Charcoal,#414141
Bambu Lab,Royal Purple,#483D8B
Bambu Lab,Nebulae,#495758
Bambu Lab,Black,#393533
Bambu Lab,Lava Gray,#4B4E53
Bambu Lab,Yellow,#FFD00B
Bambu Lab,Orange,#F75403
Bambu Lab,Green,#00AE42
Bambu Lab,Red,#EB3A3A
Bambu Lab,Blue,#002E96
Bambu Lab,Black,#000000
Bambu Lab,White,#FFFFFF
Bambu Lab,Cream,#F9DFB9
Bambu Lab,Lime Green,#6EE53C
Bambu Lab,Forest Green,#39541A
Bambu Lab,Lake Blue,#1F79E5
Bambu Lab,Peanut Brown,#875718
Bambu Lab,Gray,#ADB1B2
Bambu Lab,Dark Gray,#515151
Bambu Lab,Translucent Gray,#8E8E8E
Bambu Lab,Translucent Light Blue,#61B0FF
Bambu Lab,Translucent Olive,#748C45
Bambu Lab,Translucent Brown,#C9A381
Bambu Lab,Translucent Teal,#77EDD7
Bambu Lab,Translucent Orange,#FF911A
Bambu Lab,Translucent Purple,#D6ABFF
Bambu Lab,Translucent Pink,#F9C1BD
Bambu Lab,Brick Red,#9f332a
Bambu Lab,Violet Purple,#583061
Bambu Lab,Indigo Blue,#324585
Bambu Lab,Malachite Green,#16b08e
Bambu Lab,Black,#000000
Bambu Lab,Titan Gray,#565656
Prusament,Pristine White,#E6EAEF
Prusament,Vanilla White,#F3E5AB
Prusament,Prusa Orange,#FE6E32
Prusament,Lipstick Red,#D02F37
Prusament,Azure Blue,#0082AD
Prusament,Gravity Grey,#9FA4A8
Prusament,Jet Black,#393C3C
Prusament,Natural,#F5F5DC
Prusament,Algae Pigment,#674B42
Prusament,Clear,#FFFFFF
Prusament,Signal White,#E5E0E3
Prusament,Urban Grey,#95908D
Prusament,Mango Yellow,#F4BB44
Prusament,Prusa Orange,#EB5405
Prusament,Prusa Orange Transparent,#F17231
Prusament,Terracotta Light,#E2725B
eSun,White,#FFFFFF
eSun,Cold White,#E6E6FA
eSun,Black,#000000
eSun,Red,#FF0000
eSun,Blue,#0000FF
eSun,Gray,#808080
eSun,Silver,#C0C0C0
eSun,Yellow,#FFFF00
eSun,White,#E3E0DD
eSun,Black,#353434
eSun,Magenta (w/o Fan),#DF436A
eSun,White,#E1E1E1
eSun,Black,#3F3A40
eSun,Natural,#D9E3DF
Polymaker,Galaxy Black,#383B35
Polymaker,White,#EBE7E6
Polymaker,Black,#101820
Polymaker,Jet Black,#1C1C1C
Polymaker,Grey,#888B8D
Polymaker,Blue,#002677
Polymaker,Red,#AF231C
Polymaker,Green,#00A95C
Polymaker,Orange,#FF6A13
Polymaker,Yellow,#FFE800
Polymaker,Purple,#7758B3
Polymaker,Polymaker Teal,#00B4BC
Polymaker,Natural,#F1E6B2
Polymaker,Army Green,#68724D
Polymaker,Army Brown,#775C50
Polymaker,Dark Grey,#6C6D71
Polymaker,White,#E1DCCD
Polymaker,Grey,#A2AAAD
Polymaker,Black,#4C4E56
Polymaker,Wood,#D2A273
Polymaker,Bright Orange,#FA8423
Polymaker,Charcoal Black,#1C1C1C
Polymaker,Cotton White,#E6DDDB
Polymaker,Army Beige,#CCA897
Polymaker,Army Brown,#724E3D
Polymaker,Earth Brown,#7C594A
Polymaker,Muted White,#AFA198
Polymaker,Pastel Peanut,#C29572
Polymaker,Wood Brown,#AD7441
Polymaker,Muted Green,#656D60
Polymaker,Forest Green,#519F61
Polymaker,Arctic Teal,#5AABB1
Polymaker,Pastel Ice,#95C5D3
Polymaker,Lavender Purple,#8A68B5
Polymaker,Muted Purple,#7C5577
Polymaker,Pastel Candy,#DABCC8
Polymaker,Sakura Pink,#E0A8BB
Polymaker,Pastel Watermelon,#E93A3F
Polymaker,Lava Red,#DE1619
Polymaker,Army Red,#AC1A17
Polymaker,Muted Red,#DB3E14
Polymaker,White,#D9DFE3
Polymaker,White,#DDDFDA
Polymaker,Red,#E01A0C
Polymaker,Black/Grey,#333333
Polymaker,Black/Grey,#333333
Polymaker,Black/Grey,#1A1A1A
Sunlu,Marble,#D3D3D3
Sunlu,Wood,#DEB887
Sunlu,Black/Grey,#1A1A1A
Sunlu,Marble,#D3D3D3
Sunlu,Luminous,#F0FFF0
Sunlu,Luminous,#F0FFF0
Sunlu,Black/Grey,#1A1A1A
Sunlu,Black,#3A3C3B
Sunlu,Black,#414142
Sunlu, PA12-CF)",Black/Grey,#1A1A1A
Redline,Gelb (Yellow),#F3BD00
Redline,Glitzer Platinsilber,#7C7A7A
